fcode,nama stasiun,kode stasiun,kd_prov,kabkot,provinsi,srs_id,objectid
CD01050140,AIR ASAM,AIS/ASM,16,KAB. MUARA ENIM,SUMATERA SELATAN,WGS 1984,107
CD01050140,Lambaro,LRO,11,KAB. ACEH BESAR,ACEH,WGS 1984,1
CD01050140,LECES,LEC,35,KAB. PROBOLINGGO,JAWA TIMUR,WGS 1984,623
CD01050140,PROBOLINGGO,PB,35,KAB. PROBOLINGGO,JAWA TIMUR,WGS 1984,624
CD01050140,GRATI,GI,35,KOTA PASURUAN,JAWA TIMUR,WGS 1984,738
CD01050140,PASURUAN,PS,35,KOTA PASURUAN,JAWA TIMUR,WGS 1984,739
CD01050140,REJOSO,RO,35,KOTA PASURUAN,JAWA TIMUR,WGS 1984,740
,KRUENG GEUKUEH,KRG,11,KAB. ACEH UTARA,ACEH,,6
,KRUENG MANE,KRM,11,KAB. ACEH UTARA,ACEH,,7
,KUALA BINGEI,KBG,12,KAB. LANGKAT,SUMATERA UTARA,,16
CD01050140,ARAS KABU,ARB,12,KAB. DELI SERDANG,SUMATERA UTARA,WGS 1984,20
CD01050140,BATANG KUIS,BTK,12,KAB. DELI SERDANG,SUMATERA UTARA,WGS 1984,21
CD01050140,LUBUK PAKAM,LBP,12,KAB. DELI SERDANG,SUMATERA UTARA,WGS 1984,22
,BAHLIAS,BLI,12,KAB. SIMALUNGUN,SUMATERA UTARA,,23
,BAJALINGGEI,BJL,12,KAB. SERDANG BEDAGAI,SUMATERA UTARA,,24
CD01050140,DOLOK MERANGIR,DMR,12,KAB. SIMALUNGUN,SUMATERA UTARA,WGS 1984,25
CD01050140,PERLANAAN,PRA,12,KAB. SIMALUNGUN,SUMATERA UTARA,WGS 1984,26
CD01050140,BANDAR TINGGI,BDT,12,KAB. SIMALUNGUN,SUMATERA UTARA,WGS 1984,27
CD01050140,AEK LOBA,AKB,12,KAB. ASAHAN,SUMATERA UTARA,WGS 1984,28
CD01050140,KISARAN,KIS,12,KAB. ASAHAN,SUMATERA UTARA,WGS 1984,29
CD01050140,PULU RAJA,PUR,12,KAB. ASAHAN,SUMATERA UTARA,WGS 1984,30
,TELUK DALAM,TUK,12,KAB. ASAHAN,SUMATERA UTARA,,31
CD01050140,RANTAU PRAPAT,RAP,12,KAB. LABUHANBATU,SUMATERA UTARA,WGS 1984,32
CD01050140,PERBAUNGAN,PBA,12,KAB. SERDANG BEDAGAI,SUMATERA UTARA,WGS 1984,33
CD01050140,BAMBAN,BMB,12,KAB. SERDANG BEDAGAI,SUMATERA UTARA,WGS 1984,34
CD01050140,RAMPAH/PAMINGKE,RPH,12,KAB. SERDANG BEDAGAI,SUMATERA UTARA,WGS 1984,35
CD01050140,LIMA PULUH,LMP,12,KAB. BATU BARA,SUMATERA UTARA,WGS 1984,36
CD01050140,SEI BEJANGKAR,SBJ,12,KAB. BATU BARA,SUMATERA UTARA,WGS 1984,37
CD01050140,LAUT TADOR,LTD,12,KAB. BATU BARA,SUMATERA UTARA,WGS 1984,38
CD01050140,MAMBANG MUDA,MBM,12,KAB. LABUHANBATU UTARA,SUMATERA UTARA,WGS 1984,39
CD01050140,MERBAU,MBU,12,KAB. LABUHANBATU UTARA,SUMATERA UTARA,WGS 1984,40
CD01050140,PADANG HALABAN,PHA,12,KAB. LABUHANBATU UTARA,SUMATERA UTARA,WGS 1984,41
CD01050140,BUNGAMAS,BGM,16,KAB. LAHAT,SUMATERA SELATAN,WGS 1984,126
CD01050140,PASAR SENEN,PSE,31,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,WGS 1984,175
CD01050140,RAJAWALI,RJW,31,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,WGS 1984,176
CD01050140,TANAH ABANG,THB,31,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,WGS 1984,177
CD01050140,Gondangdia,GDD,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,178
CD01050140,Juanda,JUA,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,179
CD01050140,Karet,KAT,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,180
CD01050140,Mangga Besar,MGB,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,182
CD01050140,Sawah Besar,SWB/SW,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,183
CD01050140,Sentiong,GST,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,184
CD01050140,Sudirman,SUD,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,185
CD01050140,ANCOL,AC,31,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,WGS 1984,186
CD01050140,JAKARTA GUDANG,JAKG,31,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,WGS 1984,187
CD01050140,TANJUNG PRIOK,TPK,31,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,WGS 1984,188
CD01050140,Kampung Bandan Atas,KPB A,31,KOTA JAKARTA UTARA,DKI JAKARTA,WGS 1984,189
CD01050140,Kampung Bandan Bawah,KPB B,31,KOTA JAKARTA UTARA,DKI JAKARTA,WGS 1984,190
CD01050140,Pasoso,POO,31,KOTA JAKARTA UTARA,DKI JAKARTA,WGS 1984,191
CD01050140,Sungai Lagoa,SAO,31,KOTA JAKARTA UTARA,DKI JAKARTA,WGS 1984,192
CD01050140,ANGKE,AK,31,KOTA ADM. JAKARTA BARAT,DKI JAKARTA,WGS 1984,193
CD01050140,DURI,DU,31,KOTA ADM. JAKARTA BARAT,DKI JAKARTA,WGS 1984,194
CD01050140,JAKARTA KOTA,JAKK,31,KOTA ADM. JAKARTA BARAT,DKI JAKARTA,WGS 1984,195
CD01050140,Bojong Indah,BOI,31,KOTA JAKARTA BARAT,DKI JAKARTA,WGS 1984,196
CD01050140,Grogol,GRG,31,KOTA JAKARTA BARAT,DKI JAKARTA,WGS 1984,197
CD01050140,Jayakarta,JYK/JAY,31,KOTA JAKARTA PUSAT,DKI JAKARTA,WGS 1984,198
CD01050140,Kalideres,KDS,31,KOTA JAKARTA BARAT,DKI JAKARTA,WGS 1984,199
CD01050140,Pesing,PSG,31,KOTA JAKARTA BARAT,DKI JAKARTA,WGS 1984,200
CD01050140,Rawa Buaya,RW,31,KOTA JAKARTA BARAT,DKI JAKARTA,WGS 1984,201
CD01050140,Taman Kota,TKO,31,KOTA JAKARTA BARAT,DKI JAKARTA,WGS 1984,202
CD01050140,KEBAYORAN,KBY,31,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA,WGS 1984,203
CD01050140,MANGGARAI,MRI,31,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA,WGS 1984,204
CD01050140,Cawang,CWG/CW,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,205
CD01050140,Duren Kalibata,DRN,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,206
CD01050140,Lenteng Agung,LTA/LNA,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,207
CD01050140,Pasar Minggu,PSM,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,208
CD01050140,Pasar Minggu Baru,PSMB,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,209
CD01050140,Tanjung Barat,TNT,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,210
CD01050140,Tebet,TEB,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,211
CD01050140,Universitas Pancasila,UP,31,KOTA JAKARTA SELATAN,DKI JAKARTA,WGS 1984,212
CD01050140,BUARAN,BUA,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,WGS 1984,213
,CAKUNG,CUK,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,,214
CD01050140,JATINEGARA,JNG,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,WGS 1984,216
CD01050140,KLENDER,KLD,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,WGS 1984,217
CD01050140,KLENDER BARU,KLDB,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,WGS 1984,218
CD01050140,PONDOK JATI,POK,31,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,WGS 1984,219
CD01050140,CIBINONG,CBN/CBG,32,KAB. BOGOR,JAWA BARAT,WGS 1984,220
CD01050140,CIGOMBONG,CGB,32,KAB. BOGOR,JAWA BARAT,WGS 1984,221
CD01050140,CILEJIT,CJT,32,KAB. BOGOR,JAWA BARAT,WGS 1984,222
CD01050140,MASENG,MSG,32,KAB. BOGOR,JAWA BARAT,WGS 1984,223
CD01050140,NAMBO,NMO,32,KAB. BOGOR,JAWA BARAT,WGS 1984,224
CD01050140,PARUNG PANJANG,PRP,32,KAB. BOGOR,JAWA BARAT,WGS 1984,225
CD01050140,TENJO,TEJ,32,KAB. BOGOR,JAWA BARAT,WGS 1984,226
CD01050140,Bojong Gede,BJD,32,KAB. BOGOR,JAWA BARAT,WGS 1984,227
CD01050140,Cilebut,CLT,32,KAB. BOGOR,JAWA BARAT,WGS 1984,228
CD01050140,CIBADAK,CBD,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,232
CD01050140,CICURUG,CCR,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,233
CD01050140,CISAAT,CSA,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,235
CD01050140,KARANG TENGAH,KE,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,237
CD01050140,PARUNG KUDA,PRK,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,238
CD01050140,CIKAMPEK,CKP,32,KAB. KARAWANG,JAWA BARAT,WGS 1984,310
CD01050140,DAWUAN,DWN,32,KAB. KARAWANG,JAWA BARAT,WGS 1984,311
CD01050140,KARAWANG,KW,32,KAB. KARAWANG,JAWA BARAT,WGS 1984,312
CD01050140,KLARI,KLI,32,KAB. KARAWANG,JAWA BARAT,WGS 1984,313
CD01050140,KOSAMBI,KOS,32,KAB. KARAWANG,JAWA BARAT,WGS 1984,314
CD01050140,TAMBUN,TB,32,KAB. BEKASI,JAWA BARAT,WGS 1984,316
CD01050140,Cibitung,CBT/CIT,32,KAB. BEKASI,JAWA BARAT,WGS 1984,317
CD01050140,Metland Telaga Murni,MTM,32,KAB. BEKASI,JAWA BARAT,WGS 1984,318
CD01050140,KEDUNG GEDEH,KDH,32,KAB. BEKASI,JAWA BARAT,WGS 1984,319
CD01050140,LEMAH ABANG,LMB,32,KAB. BEKASI,JAWA BARAT,WGS 1984,320
CD01050140,BATU TULIS,BTT,32,KOTA BOGOR,JAWA BARAT,WGS 1984,334
CD01050140,BOGOR,BOO,32,KOTA BOGOR,JAWA BARAT,WGS 1984,335
,BOGOR PALEDANG,BOP,32,KOTA BOGOR,JAWA BARAT,,336
CD01050140,Ciomas,CS,32,KOTA BOGOR,JAWA BARAT,WGS 1984,337
CD01050140,SUKABUMI,SI,32,KOTA SUKABUMI,JAWA BARAT,WGS 1984,338
CD01050140,BEKASI,BKS,32,KOTA BEKASI,JAWA BARAT,WGS 1984,350
CD01050140,Kranji,KRI,32,KOTA BEKASI,JAWA BARAT,WGS 1984,351
,MAGETAN,MAG,35,KAB. MAGETAN,JAWA TIMUR,,674
CD01050140,Depok,DP,32,KOTA DEPOK,JAWA BARAT,WGS 1984,352
CD01050140,Depok Baru,DPB,32,KOTA DEPOK,JAWA BARAT,WGS 1984,353
CD01050140,Pondok Cina,POC,32,KOTA DEPOK,JAWA BARAT,WGS 1984,354
CD01050140,Universitas Indonesia,UI,32,KOTA DEPOK,JAWA BARAT,WGS 1984,355
CD01050140,Citayam,CTA,32,KOTA DEPOK,JAWA BARAT,WGS 1984,356
CD01050140,MAJA,MJ,36,KAB. LEBAK,BANTEN,WGS 1984,767
CD01050140,RANGKASBITUNG,RK,36,KAB. LEBAK,BANTEN,WGS 1984,768
CD01050140,Citeras,CTR,36,KAB. LEBAK,BANTEN,WGS 1984,770
CD01050140,Cicayur,CCY/CC,36,KAB. TANGERANG,BANTEN,WGS 1984,771
CD01050140,Cikoya,CKY,36,KAB. TANGERANG,BANTEN,WGS 1984,772
CD01050140,Cisauk,CSK,36,KAB. TANGERANG,BANTEN,WGS 1984,773
CD01050140,Daru,DAR,36,KAB. TANGERANG,BANTEN,WGS 1984,774
CD01050140,Tigaraksa,TGS,36,KAB. TANGERANG,BANTEN,WGS 1984,775
CD01050140,CATANG,CT,36,KAB. SERANG,BANTEN,WGS 1984,776
CD01050140,CIKEUSAL,CKL,36,KAB. SERANG,BANTEN,WGS 1984,777
CD01050140,JAMBU BARU,JBU,36,KAB. SERANG,BANTEN,WGS 1984,778
CD01050140,TONJONG BARU,TOJB/TJB,36,KAB. SERANG,BANTEN,WGS 1984,779
CD01050140,Batuceper,BPR,36,KOTA TANGERANG,BANTEN,WGS 1984,781
CD01050140,Poris,PI,36,KOTA TANGERANG,BANTEN,WGS 1984,782
CD01050140,Tangerang,TNG,36,KOTA TANGERANG,BANTEN,WGS 1984,783
CD01050140,CIGADING,CGD,36,KOTA CILEGON,BANTEN,WGS 1984,784
CD01050140,CILEGON,CLG,36,KOTA CILEGON,BANTEN,WGS 1984,785
CD01050140,KRENCENG,KEN,36,KOTA CILEGON,BANTEN,WGS 1984,786
CD01050140,MERAK,MER,36,KOTA CILEGON,BANTEN,WGS 1984,787
CD01050140,KARANGANTU,KRA,36,KOTA SERANG,BANTEN,WGS 1984,788
CD01050140,SERANG,SG,36,KOTA SERANG,BANTEN,WGS 1984,789
CD01050140,WALANTAKA,WLT,36,KOTA SERANG,BANTEN,WGS 1984,790
CD01050140,PONDOK RANJI,PDJ,36,KOTA TANGERANG SELATAN,BANTEN,WGS 1984,791
CD01050140,SERPONG,SRP,36,KOTA TANGERANG SELATAN,BANTEN,WGS 1984,792
CD01050140,SUDIMARA,SDM,36,KOTA TANGERANG SELATAN,BANTEN,WGS 1984,793
CD01050140,Jurang Mangu,JMU,36,KOTA TANGERANG SELATAN,BANTEN,WGS 1984,794
CD01050140,Rawa Buntu,RU,36,KOTA TANGERANG SELATAN,BANTEN,WGS 1984,795
,Cireungas,CRH/CRG,32,KAB. SUKABUMI,JAWA BARAT,,229
CD01050140,CIREUNGAS,CRG,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,234
CD01050140,GANDASOLI,GDS,32,KAB. SUKABUMI,JAWA BARAT,WGS 1984,236
CD01050140,CIANJUR,CJ,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,242
CD01050140,CIBEBER,CBB,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,243
CD01050140,CIPEUYEUM,CPY,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,244
CD01050140,CIRANJANG,CRJ,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,245
CD01050140,LAMPEGAN,LP,32,KAB. CIANJUR,JAWA BARAT,WGS 1984,246
CD01050140,CICALENGKA,CCL,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,247
CD01050140,HAURPUGUR,HRP,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,248
CD01050140,NAGREG,NG,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,249
CD01050140,RANCAEKEK,RCK,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,250
CD01050140,Lebak Jero,LBJ,32,KAB. BANDUNG,JAWA BARAT,WGS 1984,252
CD01050140,Bumi Waluya,BMW,32,KAB. GARUT,JAWA BARAT,WGS 1984,255
CD01050140,Warung Bandrek,WB,32,KAB. GARUT,JAWA BARAT,WGS 1984,258
CD01050140,CIBATU,CB,32,KAB. GARUT,JAWA BARAT,WGS 1984,259
CD01050140,CIPEUNDEUY,CPD,32,KAB. GARUT,JAWA BARAT,WGS 1984,260
CD01050140,GARUT,GRT,32,KAB. GARUT,JAWA BARAT,WGS 1984,261
CD01050140,KARANG SARI,KRAI,32,KAB. GARUT,JAWA BARAT,WGS 1984,262
CD01050140,LELES,LL/LE,32,KAB. GARUT,JAWA BARAT,WGS 1984,263
CD01050140,LEUWIGOONG,LO/LWG,32,KAB. GARUT,JAWA BARAT,WGS 1984,264
,PASIRJENGKOL,PSJ,32,KAB. GARUT,JAWA BARAT,,265
